,illumination,date,dist_to_moon,feels_like_19-1,pressure_19-1,rain_1h_19-1,weather_id_19-1,feels_like_07,pressure_07,rain_1h_07,weather_id_07,open_d-1,high_d-1,low_d-1,close_d-1,result,daily_policy_index_d-1
25,96.94,2001-02-07,363579.23 ,2.86,995.0,0.0,803.0,3.16,997,0.0,802,"6,269.20","6,306.70","6,262.60","6,293.40","6,225.70",127.85
26,99.73,2001-02-08,363364.84 ,5.49,996.0,0.0,801.0,2.25,990,0.82,501,"6,293.40","6,293.40","6,197.30","6,225.70","6,206.10",222.73
27,99.47,2001-02-09,364393.26 ,-1.48,1005.0,0.0,804.0,-3.79,1016,0.0,801,"6,225.60","6,265.50","6,202.90","6,206.10","6,164.30",155.24
28,82.5,2001-02-12,373882.49 ,6.56,1026.0,0.0,803.0,7.35,1019,0.5,500,"6,206.10","6,213.60","6,153.10","6,164.30","6,241.40",145.74
29,73.24,2001-02-13,378486.28 ,1.47,1027.0,0.0,804.0,-0.9,1037,0.0,801,"6,164.30","6,241.40","6,155.50","6,241.40","6,228.50",142.66
30,63.23,2001-02-14,383358.87 ,1.93,1037.0,0.0,801.0,-2.0,1035,0.0,804,"6,241.40","6,263.30","6,209.00","6,228.50","6,176.20",172.12
31,52.98,2001-02-15,388216.52 ,2.51,1033.0,0.0,802.0,-1.73,1032,0.0,804,"6,228.50","6,228.50","6,131.60","6,176.20","6,197.90",83.98
32,42.92,2001-02-16,392798.61 ,2.43,1031.0,0.0,721.0,-0.57,1032,0.0,721,"6,176.20","6,212.70","6,155.50","6,197.90","6,088.30",218.28
33,16.93,2001-02-19,402909.98 ,-0.23,1032.0,0.0,800.0,-4.06,1036,0.0,701,"6,197.90","6,197.90","6,082.80","6,088.30","6,094.00",325.44
34,10.45,2001-02-20,404641.97 ,3.05,1038.0,0.0,804.0,-1.32,1037,0.0,741,"6,088.30","6,102.20","6,065.20","6,094.00","5,980.10",88.74
35,5.41,2001-02-21,405446.05 ,1.41,1033.0,0.0,804.0,3.0,1031,0.0,802,"6,094.00","6,134.00","5,974.80","5,980.10","5,972.40",188.68
36,1.95,2001-02-22,405306.97 ,6.16,1027.0,0.0,802.0,2.23,1023,0.0,801,"5,980.10","5,998.90","5,921.70","5,972.40","6,003.10",125.88
37,0.2,2001-02-23,404236.21 ,4.08,1015.0,0.0,802.0,-0.79,1011,0.0,801,"5,972.40","6,011.30","5,937.10","6,003.10","5,943.70",410.79
38,5.93,2001-02-26,395953.82 ,-4.21,1014.0,0.0,801.0,-1.66,1007,0.0,801,"6,003.10","6,023.40","5,904.70","5,943.70","5,916.80",0.0
39,11.47,2001-02-27,391834.48 ,-2.23,992.0,2.1,500.0,-2.02,988,0.0,804,"5,943.70","6,003.50","5,913.80","5,916.80","5,941.20",146.74
40,18.65,2001-02-28,387293.54 ,-1.98,992.0,0.0,802.0,-2.35,993,0.34,501,"5,916.70","5,975.30","5,906.90","5,941.20","5,917.90",108.16
41,27.28,2001-03-01,382542.03 ,-3.54,996.0,0.33,311.0,-3.55,997,0.0,802,"5,941.20","5,997.00","5,901.70","5,917.90","5,908.60",269.4
42,37.09,2001-03-02,377821.15 ,-3.59,1001.0,0.0,801.0,-6.96,1001,0.0,800,"5,917.90","5,949.20","5,868.10","5,908.60","5,858.60",27.02
43,69.65,2001-03-05,366414.94 ,-2.52,1003.0,0.0,721.0,-6.34,1015,0.0,800,"5,908.60","5,924.10","5,829.50","5,858.60","5,931.30",83.93
44,79.77,2001-03-06,364314.36 ,-0.66,1019.0,0.0,803.0,-3.45,1016,0.0,721,"5,858.60","5,931.30","5,856.90","5,931.30","6,012.00",97.38
45,88.45,2001-03-07,363351.26 ,2.66,1007.0,0.0,721.0,8.57,1003,0.0,801,"5,931.30","6,027.60","5,928.00","6,012.00","6,001.80",515.5
46,95.02,2001-03-08,363600.74 ,8.35,1006.0,0.0,802.0,5.29,1001,0.0,701,"6,012.00","6,035.30","5,969.60","6,001.80","6,003.20",304.65
47,98.95,2001-03-09,365058.83 ,6.01,997.0,0.0,801.0,5.55,997,0.0,802,"6,001.80","6,050.40","5,982.00","6,003.20","5,917.30",297.09
48,93.56,2001-03-12,375466.35 ,6.9,999.0,1.12,501.0,0.83,1004,0.0,800,"6,003.20","6,003.20","5,908.90","5,917.30","5,826.50",0.0
49,86.94,2001-03-13,380218.06 ,0.67,1000.0,0.0,801.0,0.92,994,0.0,802,"5,917.30","5,917.30","5,786.30","5,826.50","5,720.70",257.31
50,78.77,2001-03-14,385150.88 ,1.47,1004.0,0.0,800.0,0.56,1008,0.0,721,"5,826.50","5,826.50","5,720.70","5,720.70","5,626.00",375.97
51,69.6,2001-03-15,389980.64 ,4.25,1007.0,0.5,310.0,4.13,1008,0.0,801,"5,720.70","5,742.10","5,471.10","5,626.00","5,729.20",219.17
52,59.92,2001-03-16,394449.28 ,5.36,1009.0,0.12,310.0,5.99,1009,0.0,721,"5,625.90","5,729.20","5,594.80","5,729.20","5,562.80",243.92
53,31.39,2001-03-19,403770.25 ,-1.6,1005.0,0.0,801.0,-3.46,1015,0.0,801,"5,729.20","5,729.20","5,556.20","5,562.80","5,551.60",125.69
54,22.99,2001-03-20,405118.95 ,-1.64,1018.0,0.0,804.0,-4.97,1014,0.0,803,"5,562.80","5,609.20","5,536.40","5,551.60","5,646.80",170.17
55,15.56,2001-03-21,405498.66 ,-6.39,1007.0,0.34,500.0,-3.09,996,1.64,501,"5,551.60","5,646.80","5,551.60","5,646.80","5,540.70",131.59
56,9.33,2001-03-22,404908.31 ,2.22,997.0,0.0,721.0,3.47,995,0.0,300,"5,646.80","5,646.80","5,496.00","5,540.70","5,314.80",170.25
57,4.53,2001-03-23,403376.70 ,8.33,1003.0,0.0,804.0,6.96,996,1.13,501,"5,540.70","5,540.70","5,279.60","5,314.80","5,402.30",208.52
58,0.67,2001-03-26,393886.00 ,0.87,1007.0,0.0,300.0,-0.05,1010,0.0,300,"5,314.80","5,438.00","5,314.80","5,402.30","5,576.60",282.88
59,3.35,2001-03-27,389513.63 ,0.62,1011.0,0.0,721.0,1.78,1008,0.5,500,"5,402.30","5,580.70","5,402.30","5,576.60","5,728.10",133.54
60,8.06,2001-03-28,384838.97 ,4.23,1001.0,0.0,801.0,4.98,995,0.0,802,"5,576.60","5,728.10","5,546.10","5,728.10","5,614.00",331.57
61,14.71,2001-03-29,380090.93 ,4.51,991.0,1.5,501.0,1.22,992,0.0,803,"5,728.10","5,728.20","5,592.20","5,614.00","5,588.40",293.3
62,23.08,2001-03-30,375517.41 ,4.46,1001.0,0.0,802.0,1.11,1010,0.0,804,"5,614.00","5,614.00","5,519.90","5,588.40","5,633.70",239.3
63,54.9,2001-04-02,365287.53 ,10.78,1020.0,0.0,804.0,9.4,1013,0.0,721,"5,588.40","5,664.80","5,574.10","5,633.70","5,618.50",116.06
64,66.1,2001-04-03,363725.60 ,10.44,1007.0,0.16,500.0,4.13,1013,0.0,803,"5,633.70","5,653.80","5,558.80","5,618.50","5,463.10",255.47
65,76.62,2001-04-04,363310.51 ,6.85,1009.0,0.81,500.0,0.73,998,0.0,802,"5,618.50","5,618.50","5,459.60","5,463.10","5,535.70",372.42
66,85.79,2001-04-05,364079.50 ,1.91,1009.0,0.0,801.0,2.0,1013,0.0,801,"5,463.10","5,537.30","5,354.30","5,535.70","5,621.80",210.15
67,93.01,2001-04-06,365996.46 ,5.31,1000.0,0.0,802.0,5.53,1004,0.0,801,"5,535.70","5,658.90","5,528.70","5,621.80","5,601.50",448.98
68,99.28,2001-04-09,377223.26 ,4.38,1020.0,1.01,501.0,7.67,1014,0.0,804,"5,621.80","5,685.60","5,543.10","5,601.50","5,663.30",233.11
69,96.15,2001-04-10,382042.15 ,6.0,1013.0,0.0,801.0,-1.55,1010,0.0,803,"5,601.50","5,679.70","5,570.10","5,663.30","5,803.00",206.76
70,90.89,2001-04-11,386947.24 ,4.3,1018.0,0.0,803.0,2.24,1025,0.0,802,"5,663.30","5,808.30","5,663.00","5,803.00","5,788.10",131.43
71,83.95,2001-04-12,391665.71 ,6.2,1030.0,0.0,802.0,3.66,1031,0.0,802,"5,803.00","5,841.30","5,766.80","5,788.10","5,766.60",447.32
72,29.59,2001-04-18,405370.95 ,2.25,1012.0,0.0,802.0,-2.16,1010,0.0,801,"5,766.60","5,774.50","5,654.90","5,761.10","5,890.20",142.53
73,21.32,2001-04-19,404363.46 ,-0.77,1013.0,0.3,520.0,-3.52,1013,0.0,800,"5,761.10","5,902.60","5,760.70","5,890.20","5,871.60",292.09
74,13.99,2001-04-20,402406.19 ,-1.24,1012.0,0.0,801.0,-1.42,1013,0.0,802,"5,890.20","5,943.40","5,844.70","5,871.60","5,879.80",470.81
75,0.67,2001-04-23,391788.20 ,3.38,1001.0,0.17,500.0,4.32,1002,0.3,500,"5,871.60","5,897.70","5,819.70","5,879.80","5,871.30",236.82
76,0.05,2001-04-24,387180.48 ,7.37,1005.0,0.0,802.0,3.91,1003,0.0,801,"5,879.80","5,889.10","5,834.50","5,871.30","5,840.30",171.99
77,1.69,2001-04-25,382388.53 ,5.65,1001.0,0.0,802.0,5.84,1002,0.34,500,"5,871.30","5,910.60","5,824.30","5,840.30","5,827.50",353.13
78,5.65,2001-04-26,377662.59 ,5.84,1006.0,0.3,520.0,4.11,1011,0.0,804,"5,840.30","5,840.30","5,788.20","5,827.50","5,868.30",253.69
79,11.83,2001-04-27,373260.69 ,5.68,1013.0,0.0,804.0,4.83,1014,0.0,804,"5,827.50","5,868.30","5,777.60","5,868.30","5,951.40",146.14
80,40.6,2001-04-30,364331.91 ,5.21,1005.0,0.28,520.0,3.55,1010,0.0,801,"5,868.30","5,976.90","5,837.60","5,951.40","5,967.00",87.91
81,51.99,2001-05-01,363364.17 ,5.25,1014.0,0.0,803.0,0.87,1018,0.0,803,"5,951.40","5,995.40","5,948.00","5,967.00","5,928.00",165.2
82,63.32,2001-05-02,363552.21 ,4.62,1024.0,0.0,802.0,3.19,1023,0.0,801,"5,966.90","5,966.90","5,917.00","5,928.00","5,904.20",291.82
83,73.98,2001-05-03,364888.16 ,8.3,1015.0,0.0,801.0,5.22,1010,0.0,801,"5,928.00","5,963.80","5,896.40","5,904.20","5,765.80",256.56
84,83.38,2001-05-04,367296.10 ,6.5,1009.0,0.0,721.0,1.17,1013,0.0,801,"5,904.20","5,904.20","5,755.70","5,765.80","5,870.30",154.44
85,98.07,2001-05-09,388911.58 ,7.28,1026.0,0.0,802.0,2.93,1024,0.0,803,"5,870.30","5,893.70","5,842.60","5,886.40","5,893.70",207.78
86,94.16,2001-05-10,393432.35 ,13.39,1018.0,0.0,801.0,11.53,1017,0.0,802,"5,886.40","5,905.30","5,826.80","5,893.70","5,964.00",298.9
87,88.49,2001-05-11,397453.76 ,15.91,1018.0,0.0,721.0,13.54,1020,0.0,721,"5,893.70","5,987.50","5,874.50","5,964.00","5,896.80",73.65
88,64.47,2001-05-14,404893.00 ,16.68,1008.0,0.0,801.0,9.24,1007,0.0,804,"5,964.00","5,977.50","5,890.40","5,896.80","5,690.50",203.82
89,55.18,2001-05-15,405499.22 ,12.55,1005.0,0.5,500.0,9.33,1005,0.0,721,"5,896.80","5,896.80","5,690.50","5,690.50","5,842.90",127.93
90,45.72,2001-05-16,405099.74 ,12.94,1002.0,0.0,803.0,9.64,998,0.21,500,"5,690.50","5,858.20","5,690.50","5,842.90","5,884.00",237.92
91,36.36,2001-05-17,403706.47 ,9.58,1000.0,0.0,801.0,0.82,998,0.0,803,"5,842.90","5,884.70","5,767.70","5,884.00","5,904.60",283.88
92,27.37,2001-05-18,401367.63 ,6.23,1007.0,0.0,802.0,4.98,1016,0.0,802,"5,884.00","5,968.40","5,884.00","5,904.60","5,915.00",439.94
93,5.95,2001-05-21,389781.88 ,11.96,1027.0,0.0,804.0,9.11,1027,0.0,802,"5,904.50","5,942.20","5,888.90","5,915.00","5,941.60",97.18
94,1.92,2001-05-22,384986.77 ,7.74,1024.0,0.0,802.0,7.94,1024,0.0,802,"5,915.00","5,978.30","5,897.80","5,941.60","5,976.60",66.97
95,0.08,2001-05-23,380118.30 ,10.19,1023.0,0.0,801.0,9.29,1024,0.0,801,"5,941.60","5,993.70","5,936.80","5,976.60","5,897.50",118.82
96,0.72,2001-05-24,375447.46 ,13.15,1023.0,0.0,800.0,9.69,1024,0.0,801,"5,976.60","5,976.60","5,897.40","5,897.50","5,915.90",260.9
97,3.95,2001-05-25,371243.27 ,12.65,1023.0,0.0,800.0,6.13,1023,0.0,804,"5,897.40","5,950.00","5,889.30","5,915.90","5,889.80",270.64
98,49.58,2001-05-30,364131.33 ,16.02,1020.0,0.0,801.0,14.05,1019,0.0,800,"5,889.80","5,906.60","5,840.80","5,863.90","5,796.90",25.93
99,60.88,2001-05-31,366051.78 ,14.77,1015.0,0.0,800.0,8.5,1018,0.0,800,"5,863.90","5,863.90","5,788.90","5,796.90","5,796.20",48.57
100,71.52,2001-06-01,368962.01 ,10.65,1022.0,0.0,802.0,8.32,1023,0.0,802,"5,796.90","5,829.80","5,733.80","5,796.20","5,809.60",69.17
101,94.69,2001-06-04,381685.89 ,9.43,1024.0,0.0,801.0,8.71,1025,0.0,802,"5,796.10","5,833.40","5,766.60","5,809.60","5,856.50",98.71
102,98.43,2001-06-05,386460.60 ,15.09,1022.0,0.0,801.0,11.21,1020,0.0,801,"5,809.60","5,861.80","5,809.10","5,856.50","5,922.60",0.0
103,99.96,2001-06-06,391086.42 ,14.29,1013.0,0.0,802.0,11.58,1012,0.0,802,"5,856.50","5,923.90","5,842.20","5,922.60","5,901.50",103.85
104,99.33,2001-06-07,395336.94 ,12.0,1010.0,0.0,801.0,6.86,1011,0.0,802,"5,922.50","5,959.70","5,891.90","5,901.50","5,948.30",30.5
105,96.69,2001-06-08,399017.51 ,9.58,1011.0,0.0,801.0,7.49,1013,0.0,801,"5,901.50","5,948.30","5,887.40","5,948.30","5,950.60",189.37
106,79.13,2001-06-11,405257.97 ,7.68,1019.0,0.0,802.0,6.48,1023,0.0,800,"5,948.30","5,981.80","5,934.80","5,950.60","5,860.50",216.5
107,70.92,2001-06-12,405461.67 ,11.62,1021.0,0.0,804.0,9.61,1021,0.0,803,"5,950.60","5,950.60","5,858.30","5,860.50","5,804.00",188.99
108,61.99,2001-06-13,404673.57 ,13.13,1018.0,0.0,801.0,11.65,1016,0.0,801,"5,860.50","5,879.50","5,783.40","5,804.00","5,820.20",116.75
109,52.57,2001-06-14,402911.02 ,12.67,1014.0,0.0,802.0,11.88,1015,0.0,803,"5,804.00","5,862.10","5,804.00","5,820.20","5,752.60",294.07
110,42.95,2001-06-15,400228.46 ,12.47,1011.0,0.58,500.0,12.89,1008,0.0,802,"5,820.20","5,820.20","5,734.60","5,752.60","5,723.00",176.41
111,15.91,2001-06-18,387874.54 ,9.63,1020.0,0.0,300.0,8.13,1027,0.0,803,"5,752.50","5,756.20","5,657.70","5,723.00","5,671.60",86.8
112,8.84,2001-06-19,382965.65 ,14.05,1028.0,0.0,804.0,12.01,1028,0.0,804,"5,723.00","5,723.00","5,671.60","5,671.60","5,680.40",154.86
113,3.55,2001-06-20,378085.94 ,14.7,1024.0,0.0,800.0,12.29,1020,0.0,801,"5,671.60","5,743.60","5,667.20","5,680.40","5,699.60",59.42
114,0.55,2001-06-21,373521.57 ,18.83,1017.0,0.0,801.0,9.84,1018,0.0,800,"5,680.40","5,711.90","5,622.50","5,699.60","5,641.40",171.69
115,0.2,2001-06-22,369549.50 ,15.88,1016.0,0.0,801.0,11.13,1018,0.0,800,"5,699.60","5,710.90","5,641.40","5,641.40","5,665.70",334.59
116,15.62,2001-06-25,363350.42 ,20.55,1021.0,0.0,802.0,18.36,1024,0.0,721,"5,641.40","5,695.10","5,632.40","5,665.70","5,661.90",256.2
117,25.13,2001-06-26,363594.07 ,18.69,1021.0,0.0,800.0,18.09,1018,0.0,801,"5,665.70","5,704.50","5,638.40","5,661.90","5,555.70",0.0
118,35.84,2001-06-27,365008.66 ,26.44,1010.0,0.0,721.0,15.54,1010,0.0,721,"5,661.90","5,666.30","5,537.30","5,555.70","5,607.90",219.1
119,47.07,2001-06-28,367493.49 ,19.11,1012.0,0.0,802.0,13.94,1015,0.0,801,"5,555.70","5,608.30","5,555.70","5,607.90","5,638.40",277.58
120,58.22,2001-06-29,370885.83 ,18.25,1017.0,0.0,802.0,15.28,1020,0.0,804,"5,607.90","5,645.00","5,519.60","5,638.40","5,642.50",261.59
121,86.23,2001-07-02,384263.45 ,22.83,1027.0,0.0,801.0,21.36,1028,0.0,803,"5,638.40","5,656.40","5,604.80","5,642.50","5,716.70",85.61
122,92.54,2001-07-03,388957.88 ,22.82,1024.0,0.0,801.0,19.99,1021,0.0,803,"5,642.50","5,723.40","5,614.60","5,716.70","5,639.90",455.09
123,96.98,2001-07-04,393371.63 ,19.62,1012.0,0.0,800.0,19.27,1008,0.0,802,"5,716.70","5,726.10","5,630.30","5,639.90","5,600.50",236.09
124,99.45,2001-07-05,397304.08 ,24.16,1009.0,0.0,801.0,19.5,1009,0.0,801,"5,639.90","5,644.00","5,587.80","5,600.50","5,549.60",48.82
125,99.94,2001-07-06,400590.63 ,23.66,1009.0,0.8,500.0,19.0,1010,0.5,500,"5,600.50","5,601.30","5,509.70","5,549.60","5,479.20",185.07
126,90.46,2001-07-09,405473.25 ,15.09,1011.0,0.0,802.0,12.48,1015,0.0,802,"5,549.60","5,549.60","5,443.90","5,479.20","5,468.90",41.78
127,84.18,2001-07-10,405236.87 ,14.91,1012.0,0.0,804.0,13.37,1006,0.0,804,"5,479.20","5,487.90","5,420.50","5,468.90","5,467.90",286.51
128,76.68,2001-07-11,404038.83 ,13.46,1004.0,0.23,500.0,9.7,1006,0.0,802,"5,468.90","5,509.40","5,461.20","5,467.90","5,391.90",232.76
129,68.17,2001-07-12,401906.29 ,10.11,1011.0,0.0,801.0,11.1,1011,0.0,802,"5,467.90","5,468.50","5,380.40","5,391.90","5,481.60",363.45
130,58.9,2001-07-13,398902.65 ,11.14,1007.0,0.0,801.0,11.46,1008,0.0,802,"5,391.90","5,497.60","5,391.90","5,481.60","5,537.00",309.52
131,29.27,2001-07-16,385976.09 ,14.58,1016.0,0.19,500.0,12.51,1017,0.0,801,"5,481.60","5,544.10","5,439.60","5,537.00","5,517.10",90.39
132,20,2001-07-17,381041.26 ,15.1,1014.0,0.0,803.0,13.44,1007,0.0,804,"5,537.00","5,537.00","5,503.60","5,517.10","5,427.80",373.0
133,11.85,2001-07-18,376233.70 ,10.71,995.0,2.11,502.0,13.01,994,0.0,801,"5,517.10","5,517.10","5,408.40","5,427.80","5,404.60",333.41
134,5.42,2001-07-19,371844.89 ,16.03,996.0,0.0,801.0,10.18,1002,0.0,801,"5,427.80","5,431.90","5,379.00","5,404.60","5,437.40",532.24
135,1.32,2001-07-20,368152.03 ,10.54,1010.0,0.0,804.0,10.35,1015,0.0,800,"5,404.60","5,437.40","5,322.20","5,437.40","5,387.10",155.55
136,6.36,2001-07-23,363311.25 ,18.63,1017.0,0.0,803.0,15.67,1019,0.0,804,"5,437.40","5,437.40","5,350.40","5,387.10","5,405.30",254.86
137,13.55,2001-07-24,364108.62 ,19.88,1016.0,0.0,801.0,13.39,1018,0.0,802,"5,387.10","5,446.80","5,365.80","5,405.30","5,320.20",277.36
138,22.67,2001-07-25,366073.66 ,18.63,1018.0,0.0,803.0,16.11,1020,0.0,721,"5,405.30","5,412.80","5,313.00","5,320.20","5,275.70",257.76
139,33.03,2001-07-26,369067.29 ,17.94,1018.0,0.0,804.0,16.63,1018,0.0,804,"5,320.20","5,350.10","5,260.50","5,275.70","5,286.10",224.75
140,43.95,2001-07-27,372889.24 ,22.41,1016.0,0.0,802.0,19.18,1017,0.0,801,"5,275.70","5,322.70","5,269.50","5,286.10","5,403.10",313.58
141,74.68,2001-07-30,386807.84 ,24.62,1021.0,0.0,800.0,18.97,1024,0.0,801,"5,286.10","5,403.10","5,286.10","5,403.10","5,446.70",186.59
142,82.93,2001-07-31,391398.53 ,25.1,1021.0,0.0,801.0,17.42,1022,0.0,801,"5,403.10","5,456.90","5,376.10","5,446.70","5,529.10",233.19
143,89.73,2001-08-01,395579.88 ,20.03,1024.0,0.0,801.0,15.06,1026,0.0,802,"5,446.70","5,531.80","5,408.80","5,529.10","5,546.90",333.98
