illumination,Date,Text1
54.58% Visible,Moon phase details at 7 August 2011,"366,601.95 km"
65.54% Visible,Moon phase details at 8 August 2011,"369,709.74 km"
75.58% Visible,Moon phase details at 9 August 2011,"373,584.55 km"
84.26% Visible,Moon phase details at 10 August 2011,"377,998.97 km"
91.22% Visible,Moon phase details at 11 August 2011,"382,704.53 km"
96.23% Visible,Moon phase details at 12 August 2011,"387,448.87 km"
99.16% Visible,Moon phase details at 13 August 2011,"391,991.65 km"
99.99% Visible,Moon phase details at 14 August 2011,"396,117.44 km"
98.8% Visible,Moon phase details at 15 August 2011,"399,644.18 km"
95.74% Visible,Moon phase details at 16 August 2011,"402,426.95 km"
91% Visible,Moon phase details at 17 August 2011,"404,357.72 km"
84.81% Visible,Moon phase details at 18 August 2011,"405,362.82 km"
77.4% Visible,Moon phase details at 19 August 2011,"405,400.08 km"
69.03% Visible,Moon phase details at 20 August 2011,"404,457.66 km"
59.93% Visible,Moon phase details at 21 August 2011,"402,555.76 km"
50.36% Visible,Moon phase details at 22 August 2011,"399,751.29 km"
40.59% Visible,Moon phase details at 23 August 2011,"396,144.16 km"
30.94% Visible,Moon phase details at 24 August 2011,"391,882.86 km"
21.79% Visible,Moon phase details at 25 August 2011,"387,166.10 km"
13.59% Visible,Moon phase details at 26 August 2011,"382,237.91 km"
6.88% Visible,Moon phase details at 27 August 2011,"377,374.98 km"
2.21% Visible,Moon phase details at 28 August 2011,"372,866.92 km"
0.09% Visible,Moon phase details at 29 August 2011,"368,992.37 km"
0.83% Visible,Moon phase details at 30 August 2011,"365,994.61 km"
4.5% Visible,Moon phase details at 31 August 2011,"364,060.64 km"
10.84% Visible,Moon phase details at 1 September 2011,"363,306.10 km"
19.37% Visible,Moon phase details at 2 September 2011,"363,767.48 km"
29.44% Visible,Moon phase details at 3 September 2011,"365,401.64 km"
40.36% Visible,Moon phase details at 4 September 2011,"368,091.86 km"
51.49% Visible,Moon phase details at 5 September 2011,"371,659.52 km"
62.28% Visible,Moon phase details at 6 September 2011,"375,880.13 km"
72.26% Visible,Moon phase details at 7 September 2011,"380,502.05 km"
81.05% Visible,Moon phase details at 8 September 2011,"385,265.82 km"
88.37% Visible,Moon phase details at 9 September 2011,"389,922.15 km"
94.01% Visible,Moon phase details at 10 September 2011,"394,246.20 km"
97.82% Visible,Moon phase details at 11 September 2011,"398,047.02 km"
99.75% Visible,Moon phase details at 12 September 2011,"401,171.68 km"
99.78% Visible,Moon phase details at 13 September 2011,"403,504.82 km"
97.99% Visible,Moon phase details at 14 September 2011,"404,965.39 km"
94.46% Visible,Moon phase details at 15 September 2011,"405,502.39 km"
89.35% Visible,Moon phase details at 16 September 2011,"405,091.88 km"
82.82% Visible,Moon phase details at 17 September 2011,"403,736.64 km"
75.08% Visible,Moon phase details at 18 September 2011,"401,469.03 km"
66.33% Visible,Moon phase details at 19 September 2011,"398,356.75 km"
56.81% Visible,Moon phase details at 20 September 2011,"394,509.72 km"
46.8% Visible,Moon phase details at 21 September 2011,"390,085.66 km"
36.62% Visible,Moon phase details at 22 September 2011,"385,291.23 km"
26.68% Visible,Moon phase details at 23 September 2011,"380,376.44 km"
17.49% Visible,Moon phase details at 24 September 2011,"375,621.24 km"
9.65% Visible,Moon phase details at 25 September 2011,"371,315.11 km"
3.81% Visible,Moon phase details at 26 September 2011,"367,732.53 km"
0.55% Visible,Moon phase details at 27 September 2011,"365,108.09 km"
0.25% Visible,Moon phase details at 28 September 2011,"363,614.86 km"
3.02% Visible,Moon phase details at 29 September 2011,"363,348.91 km"
8.61% Visible,Moon phase details at 30 September 2011,"364,321.56 km"
16.49% Visible,Moon phase details at 1 October 2011,"366,459.62 km"
26% Visible,Moon phase details at 2 October 2011,"369,613.40 km"
36.44% Visible,Moon phase details at 3 October 2011,"373,571.47 km"
47.21% Visible,Moon phase details at 4 October 2011,"378,080.44 km"
57.76% Visible,Moon phase details at 5 October 2011,"382,867.42 km"
67.7% Visible,Moon phase details at 6 October 2011,"387,662.17 km"
76.69% Visible,Moon phase details at 7 October 2011,"392,216.17 km"
84.46% Visible,Moon phase details at 8 October 2011,"396,315.94 km"
90.81% Visible,Moon phase details at 9 October 2011,"399,790.04 km"
95.58% Visible,Moon phase details at 10 October 2011,"402,509.80 km"
98.65% Visible,Moon phase details at 11 October 2011,"404,385.80 km"
99.95% Visible,Moon phase details at 12 October 2011,"405,362.15 km"
99.46% Visible,Moon phase details at 13 October 2011,"405,411.19 km"
97.19% Visible,Moon phase details at 14 October 2011,"404,530.30 km"
93.2% Visible,Moon phase details at 15 October 2011,"402,741.94 km"
87.61% Visible,Moon phase details at 16 October 2011,"400,096.99 km"
80.56% Visible,Moon phase details at 17 October 2011,"396,680.34 km"
72.23% Visible,Moon phase details at 18 October 2011,"392,616.98 km"
62.86% Visible,Moon phase details at 19 October 2011,"388,076.15 km"
52.7% Visible,Moon phase details at 20 October 2011,"383,270.89 km"
42.13% Visible,Moon phase details at 21 October 2011,"378,451.40 km"
31.56% Visible,Moon phase details at 22 October 2011,"373,891.32 km"
21.56% Visible,Moon phase details at 23 October 2011,"369,868.19 km"
12.76% Visible,Moon phase details at 24 October 2011,"366,640.48 km"
5.84% Visible,Moon phase details at 25 October 2011,"364,424.36 km"
1.45% Visible,Moon phase details at 26 October 2011,"363,373.37 km"
0% Visible,Moon phase details at 27 October 2011,"363,563.54 km"
1.64% Visible,Moon phase details at 28 October 2011,"364,985.58 km"
