,illumination,date,dist_to_moon,feels_like_19-1,pressure_19-1,rain_1h_19-1,weather_id_19-1,feels_like_07,pressure_07,rain_1h_07,weather_id_07,open_d-1,high_d-1,low_d-1,close_d-1,result
19,4.09,1984-01-31,397789.65 ,-0.47,996.0,1.07,310.0,-2.46,998,0.0,801,"1,075.90","1,082.00","1,068.60","1,068.60","1,063.00"
20,1.13,1984-02-01,400964.27 ,-0.56,1001.0,1.5,501.0,-1.36,1002,0.0,802,"1,063.50","1,063.50","1,058.00","1,063.00","1,060.30"
21,0.01,1984-02-02,403355.53 ,1.29,990.0,0.0,801.0,-2.5,999,0.0,804,"1,062.60","1,062.60","1,060.30","1,060.30","1,050.80"
22,0.73,1984-02-03,404882.30 ,0.59,1009.0,0.0,803.0,2.94,1002,0.0,804,"1,055.00","1,055.00","1,046.00","1,050.80","1,059.80"
23,13.03,1984-02-06,403899.38 ,-0.26,1015.0,0.0,801.0,-1.55,1004,0.0,803,"1,054.40","1,060.20","1,054.40","1,059.80","1,038.20"
24,20.05,1984-02-07,401725.15 ,-1.1,996.0,0.0,803.0,-2.66,998,0.0,802,"1,054.20","1,054.20","1,038.20","1,038.20","1,021.70"
25,28.23,1984-02-08,398706.16 ,-0.79,1006.0,0.0,800.0,-5.12,992,0.9,521,"1,026.70","1,026.70","1,019.20","1,021.70","1,029.70"
26,37.34,1984-02-09,394946.00 ,-3.07,1013.0,0.0,800.0,-2.5,1028,0.0,800,"1,026.70","1,034.50","1,026.70","1,029.70","1,016.90"
27,47.15,1984-02-10,390594.37 ,0.8,1039.0,0.0,801.0,-4.29,1041,0.0,741,"1,016.90","1,016.90","1,010.00","1,016.90","1,018.00"
28,77.34,1984-02-13,376177.16 ,-1.18,1040.0,0.0,800.0,-5.55,1039,0.0,800,"1,016.90","1,020.70","1,012.30","1,018.00","1,018.30"
29,86.1,1984-02-14,371811.37 ,-1.5,1039.0,0.0,801.0,-3.56,1040,0.0,721,"1,018.30","1,023.00","1,018.30","1,018.30","1,027.00"
30,93.19,1984-02-15,368131.35 ,-1.38,1040.0,0.0,721.0,-5.18,1039,0.0,741,"1,018.30","1,027.00","1,015.40","1,027.00","1,033.00"
31,97.98,1984-02-16,365378.41 ,-3.25,1038.0,0.0,741.0,-3.53,1034,0.0,721,"1,031.70","1,036.80","1,031.70","1,033.00","1,035.00"
32,99.96,1984-02-17,363736.22 ,-2.15,1031.0,0.0,721.0,-2.28,1028,0.0,721,"1,033.00","1,035.60","1,030.40","1,035.00","1,039.00"
33,88.19,1984-02-20,366142.62 ,-6.72,1015.0,0.0,721.0,-4.45,1012,0.0,721,"1,035.00","1,039.00","1,035.00","1,039.00","1,035.40"
34,79.58,1984-02-21,369193.01 ,-3.53,1007.0,0.5,500.0,-1.92,1003,0.0,803,"1,038.70","1,038.70","1,034.20","1,035.40","1,044.40"
35,69.68,1984-02-22,373081.89 ,-2.23,1004.0,0.0,801.0,-0.49,1006,0.3,520,"1,038.40","1,044.70","1,038.40","1,044.40","1,043.00"
36,59.15,1984-02-23,377557.58 ,-2.4,1010.0,0.36,501.0,-3.06,1021,0.0,721,"1,044.40","1,045.50","1,040.70","1,043.00","1,031.70"
37,48.54,1984-02-24,382345.08 ,-10.03,1031.0,0.0,721.0,-4.6,1033,0.0,721,"1,042.10","1,042.10","1,031.70","1,031.70","1,036.90"
38,20.36,1984-02-27,395941.36 ,-1.85,1017.0,0.0,300.0,-1.74,1017,0.0,300,"1,031.70","1,036.90","1,030.80","1,036.90","1,041.30"
39,13.15,1984-02-28,399491.67 ,-2.26,1018.0,0.0,300.0,-2.13,1018,0.0,300,"1,038.80","1,044.30","1,038.80","1,041.30","1,039.20"
40,7.38,1984-02-29,402292.48 ,-2.79,1019.0,0.0,804.0,-1.08,1018,0.0,804,"1,039.20","1,039.20","1,039.20","1,039.20","1,040.30"
41,3.2,1984-03-01,404251.57 ,1.21,1016.0,0.0,721.0,1.79,1014,0.0,300,"1,039.20","1,040.60","1,031.20","1,040.30","1,046.10"
42,0.72,1984-03-02,405311.78 ,5.99,1012.0,0.0,803.0,-2.81,1001,0.0,802,"1,042.10","1,047.10","1,042.10","1,046.10","1,060.70"
43,3.94,1984-03-05,402946.46 ,3.05,1026.0,0.0,300.0,4.64,1029,0.0,300,"1,048.80","1,060.70","1,048.80","1,060.70","1,053.70"
44,8.49,1984-03-06,400386.34 ,7.19,1033.0,0.0,804.0,4.26,1035,0.0,803,"1,053.70","1,053.70","1,053.70","1,053.70","1,064.50"
45,14.63,1984-03-07,397051.15 ,6.57,1036.0,0.0,802.0,3.16,1037,0.0,721,"1,053.70","1,064.80","1,050.90","1,064.50","1,055.60"
46,22.21,1984-03-08,393061.42 ,1.47,1039.0,0.0,803.0,-3.55,1041,0.0,803,"1,063.10","1,063.10","1,055.60","1,055.60","1,055.80"
47,31.03,1984-03-09,388580.14 ,-1.3,1042.0,0.0,803.0,-2.54,1042,0.0,803,"1,055.60","1,056.00","1,050.90","1,055.80","1,060.10"
48,62.04,1984-03-12,374417.11 ,2.75,1021.0,0.0,803.0,0.15,1020,0.0,721,"1,056.30","1,060.40","1,056.30","1,060.10","1,063.60"
49,72.54,1984-03-13,370330.11 ,0.57,1026.0,0.0,721.0,-4.53,1025,0.0,801,"1,060.10","1,065.20","1,058.60","1,063.60","1,082.50"
50,82.21,1984-03-14,367000.92 ,-2.23,1022.0,0.0,721.0,-2.26,1021,0.0,741,"1,067.50","1,082.70","1,067.50","1,082.50","1,087.70"
51,90.36,1984-03-15,364650.77 ,-0.56,1020.0,0.0,721.0,-3.69,1018,0.0,721,"1,082.50","1,088.10","1,079.90","1,087.70","1,101.10"
52,96.32,1984-03-16,363442.55 ,-3.2,1015.0,0.0,721.0,-5.98,1015,0.0,803,"1,087.70","1,101.10","1,082.60","1,101.10","1,128.50"
53,96.86,1984-03-19,367137.03 ,-1.19,1020.0,0.0,721.0,-2.61,1019,0.0,721,"1,115.80","1,131.30","1,115.80","1,128.50","1,109.70"
54,91.38,1984-03-20,370547.45 ,-1.16,1017.0,0.0,721.0,-2.68,1014,0.0,721,"1,125.90","1,125.90","1,109.70","1,109.70","1,123.30"
55,83.8,1984-03-21,374730.42 ,0.88,1011.0,0.0,721.0,-1.47,1011,0.0,721,"1,110.00","1,125.10","1,110.00","1,123.30","1,130.70"
56,74.78,1984-03-22,379417.63 ,3.06,1012.0,0.0,721.0,1.04,1012,0.0,804,"1,126.10","1,130.80","1,126.10","1,130.70","1,117.20"
57,64.91,1984-03-23,384320.96 ,3.96,1011.0,0.0,721.0,-0.91,1009,0.0,721,"1,125.40","1,125.40","1,117.00","1,117.20","1,121.30"
58,35.08,1984-03-26,397643.53 ,2.65,986.0,0.0,803.0,4.94,987,0.0,803,"1,117.20","1,121.30","1,109.30","1,121.30","1,119.70"
59,26.21,1984-03-27,400910.77 ,2.48,995.0,0.0,802.0,-0.72,998,0.0,801,"1,119.90","1,119.90","1,110.70","1,119.70","1,101.90"
60,18.3,1984-03-28,403352.85 ,1.26,994.0,0.0,802.0,-0.58,998,0.0,802,"1,117.30","1,117.30","1,099.90","1,101.90","1,103.60"
61,11.58,1984-03-29,404894.28 ,2.04,996.0,0.53,500.0,0.25,1005,0.5,500,"1,101.90","1,110.10","1,101.90","1,103.60","1,113.60"
62,6.24,1984-03-30,405496.14 ,4.37,1013.0,0.0,802.0,-3.17,1015,0.0,741,"1,109.30","1,116.50","1,109.30","1,113.60","1,112.50"
63,0.12,1984-04-02,401713.60 ,-6.55,1014.0,0.0,801.0,-5.85,1018,0.0,800,"1,113.60","1,114.40","1,110.10","1,112.50","1,108.10"
64,1.73,1984-04-03,398743.00 ,-1.44,1018.0,0.0,801.0,-4.29,1017,0.0,800,"1,112.50","1,115.90","1,108.10","1,108.10","1,095.40"
65,5.23,1984-04-04,395069.99 ,1.03,1014.0,0.0,803.0,-2.37,1012,0.0,803,"1,101.50","1,101.50","1,095.40","1,095.40","1,093.60"
66,10.56,1984-04-05,390839.47 ,-0.75,1012.0,0.0,801.0,-1.94,1016,0.0,803,"1,095.10","1,095.10","1,093.40","1,093.60","1,102.20"
67,17.59,1984-04-06,386234.60 ,1.55,1017.0,0.5,500.0,-0.21,1016,0.12,300,"1,097.80","1,104.40","1,097.80","1,102.20","1,096.30"
68,46.58,1984-04-09,372478.72 ,5.91,1026.0,0.0,803.0,2.49,1026,0.0,803,"1,096.30","1,096.30","1,090.00","1,096.30","1,096.70"
