illumination,Date,Text1
77.21% Visible,Moon phase details at 25 July 1988,"384,003.45 km"
85.71% Visible,Moon phase details at 26 July 1988,"379,082.56 km"
92.7% Visible,Moon phase details at 27 July 1988,"374,408.13 km"
97.6% Visible,Moon phase details at 28 July 1988,"370,268.46 km"
99.88% Visible,Moon phase details at 29 July 1988,"366,926.57 km"
99.21% Visible,Moon phase details at 30 July 1988,"364,596.66 km"
95.55% Visible,Moon phase details at 31 July 1988,"363,425.41 km"
89.19% Visible,Moon phase details at 1 August 1988,"363,480.36 km"
80.66% Visible,Moon phase details at 2 August 1988,"364,746.08 km"
70.63% Visible,Moon phase details at 3 August 1988,"367,127.78 km"
59.79% Visible,Moon phase details at 4 August 1988,"370,461.54 km"
48.78% Visible,Moon phase details at 5 August 1988,"374,530.02 km"
38.12% Visible,Moon phase details at 6 August 1988,"379,081.67 km"
28.26% Visible,Moon phase details at 7 August 1988,"383,851.55 km"
19.53% Visible,Moon phase details at 8 August 1988,"388,581.08 km"
12.21% Visible,Moon phase details at 9 August 1988,"393,034.35 km"
6.5% Visible,Moon phase details at 10 August 1988,"397,009.30 km"
2.53% Visible,Moon phase details at 11 August 1988,"400,343.16 km"
0.4% Visible,Moon phase details at 12 August 1988,"402,912.64 km"
0.11% Visible,Moon phase details at 13 August 1988,"404,630.60 km"
1.64% Visible,Moon phase details at 14 August 1988,"405,441.20 km"
4.91% Visible,Moon phase details at 15 August 1988,"405,315.80 km"
9.81% Visible,Moon phase details at 16 August 1988,"404,251.26 km"
16.18% Visible,Moon phase details at 17 August 1988,"402,271.43 km"
23.83% Visible,Moon phase details at 18 August 1988,"399,431.84 km"
32.57% Visible,Moon phase details at 19 August 1988,"395,826.33 km"
42.16% Visible,Moon phase details at 20 August 1988,"391,593.37 km"
52.31% Visible,Moon phase details at 21 August 1988,"386,919.32 km"
62.68% Visible,Moon phase details at 22 August 1988,"382,036.01 km"
72.84% Visible,Moon phase details at 23 August 1988,"377,210.86 km"
82.24% Visible,Moon phase details at 24 August 1988,"372,729.68 km"
90.24% Visible,Moon phase details at 25 August 1988,"368,873.95 km"
96.18% Visible,Moon phase details at 26 August 1988,"365,895.85 km"
99.47% Visible,Moon phase details at 27 August 1988,"363,994.92 km"
99.73% Visible,Moon phase details at 28 August 1988,"363,299.36 km"
96.91% Visible,Moon phase details at 29 August 1988,"363,854.36 km"
91.3% Visible,Moon phase details at 30 August 1988,"365,618.34 km"
83.44% Visible,Moon phase details at 31 August 1988,"368,467.53 km"
74.01% Visible,Moon phase details at 1 September 1988,"372,208.12 km"
63.68% Visible,Moon phase details at 2 September 1988,"376,594.72 km"
53.07% Visible,Moon phase details at 3 September 1988,"381,353.07 km"
42.65% Visible,Moon phase details at 4 September 1988,"386,203.75 km"
32.82% Visible,Moon phase details at 5 September 1988,"390,883.81 km"
23.89% Visible,Moon phase details at 6 September 1988,"395,163.16 km"
16.12% Visible,Moon phase details at 7 September 1988,"398,854.20 km"
9.7% Visible,Moon phase details at 8 September 1988,"401,814.58 km"
4.81% Visible,Moon phase details at 9 September 1988,"403,944.48 km"
1.58% Visible,Moon phase details at 10 September 1988,"405,180.91 km"
0.1% Visible,Moon phase details at 11 September 1988,"405,491.52 km"
0.41% Visible,Moon phase details at 12 September 1988,"404,870.08 km"
2.53% Visible,Moon phase details at 13 September 1988,"403,335.09 km"
6.39% Visible,Moon phase details at 14 September 1988,"400,931.60 km"
11.93% Visible,Moon phase details at 15 September 1988,"397,735.92 km"
18.99% Visible,Moon phase details at 16 September 1988,"393,861.21 km"
27.39% Visible,Moon phase details at 17 September 1988,"389,462.19 km"
36.9% Visible,Moon phase details at 18 September 1988,"384,736.18 km"
47.22% Visible,Moon phase details at 19 September 1988,"379,918.79 km"
57.98% Visible,Moon phase details at 20 September 1988,"375,273.02 km"
68.69% Visible,Moon phase details at 21 September 1988,"371,072.39 km"
78.79% Visible,Moon phase details at 22 September 1988,"367,579.87 km"
87.61% Visible,Moon phase details at 23 September 1988,"365,025.30 km"
94.45% Visible,Moon phase details at 24 September 1988,"363,584.41 km"
98.71% Visible,Moon phase details at 25 September 1988,"363,361.81 km"
99.99% Visible,Moon phase details at 26 September 1988,"364,380.23 km"
98.22% Visible,Moon phase details at 27 September 1988,"366,576.95 km"
93.65% Visible,Moon phase details at 28 September 1988,"369,808.28 km"
86.78% Visible,Moon phase details at 29 September 1988,"373,861.96 km"
78.24% Visible,Moon phase details at 30 September 1988,"378,476.51 km"
68.66% Visible,Moon phase details at 1 October 1988,"383,365.19 km"
58.59% Visible,Moon phase details at 2 October 1988,"388,241.21 km"
48.48% Visible,Moon phase details at 3 October 1988,"392,840.23 km"
38.7% Visible,Moon phase details at 4 October 1988,"396,936.89 km"
29.53% Visible,Moon phase details at 5 October 1988,"400,353.56 km"
21.24% Visible,Moon phase details at 6 October 1988,"402,961.71 km"
14.04% Visible,Moon phase details at 7 October 1988,"404,677.78 km"
8.15% Visible,Moon phase details at 8 October 1988,"405,456.43 km"
3.74% Visible,Moon phase details at 9 October 1988,"405,284.14 km"
0.98% Visible,Moon phase details at 10 October 1988,"404,175.02 km"
0% Visible,Moon phase details at 11 October 1988,"402,169.92 km"
0.89% Visible,Moon phase details at 12 October 1988,"399,338.41 km"
3.68% Visible,Moon phase details at 13 October 1988,"395,782.73 km"
8.35% Visible,Moon phase details at 14 October 1988,"391,641.52 km"
14.79% Visible,Moon phase details at 15 October 1988,"387,091.43 km"
22.84% Visible,Moon phase details at 16 October 1988,"382,344.85 km"
32.24% Visible,Moon phase details at 17 October 1988,"377,642.44 km"
42.66% Visible,Moon phase details at 18 October 1988,"373,240.61 km"
53.68% Visible,Moon phase details at 19 October 1988,"369,394.97 km"
64.79% Visible,Moon phase details at 20 October 1988,"366,341.44 km"
75.38% Visible,Moon phase details at 21 October 1988,"364,277.29 km"
84.8% Visible,Moon phase details at 22 October 1988,"363,344.21 km"
92.37% Visible,Moon phase details at 23 October 1988,"363,614.95 km"
97.52% Visible,Moon phase details at 24 October 1988,"365,085.06 km"
99.87% Visible,Moon phase details at 25 October 1988,"367,670.65 km"
99.31% Visible,Moon phase details at 26 October 1988,"371,213.10 km"
96.04% Visible,Moon phase details at 27 October 1988,"375,491.09 km"
90.46% Visible,Moon phase details at 28 October 1988,"380,239.00 km"
83.11% Visible,Moon phase details at 29 October 1988,"385,170.06 km"
74.52% Visible,Moon phase details at 30 October 1988,"390,000.64 km"
65.18% Visible,Moon phase details at 31 October 1988,"394,471.98 km"
55.51% Visible,Moon phase details at 1 November 1988,"398,365.91 km"
45.85% Visible,Moon phase details at 2 November 1988,"401,512.99 km"
36.49% Visible,Moon phase details at 3 November 1988,"403,793.42 km"
27.68% Visible,Moon phase details at 4 November 1988,"405,132.88 km"
19.68% Visible,Moon phase details at 5 November 1988,"405,496.31 km"
12.72% Visible,Moon phase details at 6 November 1988,"404,882.44 km"
7.05% Visible,Moon phase details at 7 November 1988,"403,320.93 km"
2.91% Visible,Moon phase details at 8 November 1988,"400,872.43 km"
0.53% Visible,Moon phase details at 9 November 1988,"397,631.01 km"
0.08% Visible,Moon phase details at 10 November 1988,"393,727.00 km"
1.69% Visible,Moon phase details at 11 November 1988,"389,328.28 km"
5.42% Visible,Moon phase details at 12 November 1988,"384,638.10 km"
18.86% Visible,Moon phase details at 14 November 1988,"375,328.17 km"
28.12% Visible,Moon phase details at 15 November 1988,"371,208.91 km"
38.56% Visible,Moon phase details at 16 November 1988,"367,767.34 km"
49.73% Visible,Moon phase details at 17 November 1988,"365,208.75 km"
61.06% Visible,Moon phase details at 18 November 1988,"363,691.83 km"
71.94% Visible,Moon phase details at 19 November 1988,"363,316.45 km"
81.76% Visible,Moon phase details at 20 November 1988,"364,115.18 km"
89.88% Visible,Moon phase details at 21 November 1988,"366,049.06 km"
95.81% Visible,Moon phase details at 22 November 1988,"369,008.42 km"
99.2% Visible,Moon phase details at 23 November 1988,"372,819.13 km"
99.94% Visible,Moon phase details at 24 November 1988,"377,254.67 km"
98.12% Visible,Moon phase details at 25 November 1988,"382,053.36 km"
94.05% Visible,Moon phase details at 26 November 1988,"386,939.11 km"
88.11% Visible,Moon phase details at 27 November 1988,"391,642.79 km"
80.75% Visible,Moon phase details at 28 November 1988,"395,921.03 km"
72.36% Visible,Moon phase details at 29 November 1988,"399,569.59 km"
63.32% Visible,Moon phase details at 30 November 1988,"402,430.14 km"
53.94% Visible,Moon phase details at 1 December 1988,"404,390.79 km"
44.51% Visible,Moon phase details at 2 December 1988,"405,382.75 km"
35.29% Visible,Moon phase details at 3 December 1988,"405,375.63 km"
26.55% Visible,Moon phase details at 4 December 1988,"404,374.01 km"
18.55% Visible,Moon phase details at 5 December 1988,"402,416.77 km"
11.6% Visible,Moon phase details at 6 December 1988,"399,578.93 km"
6% Visible,Moon phase details at 7 December 1988,"395,974.91 km"
2.09% Visible,Moon phase details at 8 December 1988,"391,760.77 km"
0.16% Visible,Moon phase details at 9 December 1988,"387,133.12 km"
0.46% Visible,Moon phase details at 10 December 1988,"382,323.04 km"
3.12% Visible,Moon phase details at 11 December 1988,"377,584.57 km"
8.14% Visible,Moon phase details at 12 December 1988,"373,178.80 km"
15.34% Visible,Moon phase details at 13 December 1988,"369,355.70 km"
24.36% Visible,Moon phase details at 14 December 1988,"366,336.15 km"
34.75% Visible,Moon phase details at 15 December 1988,"364,296.25 km"
45.93% Visible,Moon phase details at 16 December 1988,"363,355.46 km"
57.33% Visible,Moon phase details at 17 December 1988,"363,568.79 km"
68.34% Visible,Moon phase details at 18 December 1988,"364,923.46 km"
78.37% Visible,Moon phase details at 19 December 1988,"367,339.73 km"
86.9% Visible,Moon phase details at 20 December 1988,"370,675.97 km"
93.5% Visible,Moon phase details at 21 December 1988,"374,738.05 km"
97.86% Visible,Moon phase details at 22 December 1988,"379,292.73 km"
99.86% Visible,Moon phase details at 23 December 1988,"384,084.31 km"
99.53% Visible,Moon phase details at 24 December 1988,"388,852.89 km"
97.04% Visible,Moon phase details at 25 December 1988,"393,351.81 km"
92.65% Visible,Moon phase details at 26 December 1988,"397,362.09 km"
86.68% Visible,Moon phase details at 27 December 1988,"400,701.89 km"
79.44% Visible,Moon phase details at 28 December 1988,"403,230.60 km"
71.23% Visible,Moon phase details at 29 December 1988,"404,848.48 km"
53.05% Visible,Moon phase details at 31 December 1988,"405,139.87 km"
43.61% Visible,Moon phase details at 1 January 1989,"403,794.14 km"
34.29% Visible,Moon phase details at 2 January 1989,"401,499.91 km"
25.38% Visible,Moon phase details at 3 January 1989,"398,340.60 km"
17.2% Visible,Moon phase details at 4 January 1989,"394,444.26 km"
10.16% Visible,Moon phase details at 5 January 1989,"389,985.97 km"
4.67% Visible,Moon phase details at 6 January 1989,"385,185.25 km"
1.16% Visible,Moon phase details at 7 January 1989,"380,296.91 km"
0% Visible,Moon phase details at 8 January 1989,"375,595.43 km"
5.57% Visible,Moon phase details at 10 January 1989,"367,826.74 km"
12.15% Visible,Moon phase details at 11 January 1989,"365,221.06 km"
20.81% Visible,Moon phase details at 12 January 1989,"363,689.81 km"
30.98% Visible,Moon phase details at 13 January 1989,"363,317.40 km"
42.04% Visible,Moon phase details at 14 January 1989,"364,116.30 km"
53.36% Visible,Moon phase details at 15 January 1989,"366,028.29 km"
64.36% Visible,Moon phase details at 16 January 1989,"368,930.31 km"
74.5% Visible,Moon phase details at 17 January 1989,"372,644.59 km"
83.34% Visible,Moon phase details at 18 January 1989,"376,952.17 km"
90.5% Visible,Moon phase details at 19 January 1989,"381,608.90 km"
95.74% Visible,Moon phase details at 20 January 1989,"386,362.53 km"
98.91% Visible,Moon phase details at 21 January 1989,"390,969.09 km"
100% Visible,Moon phase details at 22 January 1989,"395,206.69 km"
99.06% Visible,Moon phase details at 23 January 1989,"398,885.08 km"
96.24% Visible,Moon phase details at 24 January 1989,"401,850.66 km"
91.73% Visible,Moon phase details at 25 January 1989,"403,987.07 km"
85.74% Visible,Moon phase details at 26 January 1989,"405,213.05 km"
78.53% Visible,Moon phase details at 27 January 1989,"405,479.44 km"
70.33% Visible,Moon phase details at 28 January 1989,"404,767.52 km"
61.38% Visible,Moon phase details at 29 January 1989,"403,089.85 km"
51.93% Visible,Moon phase details at 30 January 1989,"400,494.30 km"
42.23% Visible,Moon phase details at 31 January 1989,"397,070.02 km"
32.6% Visible,Moon phase details at 1 February 1989,"392,953.37 km"
23.38% Visible,Moon phase details at 2 February 1989,"388,330.73 km"
15.02% Visible,Moon phase details at 3 February 1989,"383,435.28 km"
8.03% Visible,Moon phase details at 4 February 1989,"378,536.35 km"
2.95% Visible,Moon phase details at 5 February 1989,"373,921.30 km"
0.3% Visible,Moon phase details at 6 February 1989,"369,872.50 km"
0.44% Visible,Moon phase details at 7 February 1989,"366,642.96 km"
3.48% Visible,Moon phase details at 8 February 1989,"364,434.39 km"
9.27% Visible,Moon phase details at 9 February 1989,"363,380.70 km"
17.34% Visible,Moon phase details at 10 February 1989,"363,538.39 km"
27.09% Visible,Moon phase details at 11 February 1989,"364,884.21 km"
37.84% Visible,Moon phase details at 12 February 1989,"367,319.63 km"
48.94% Visible,Moon phase details at 13 February 1989,"370,681.06 km"
59.82% Visible,Moon phase details at 14 February 1989,"374,754.77 km"
70% Visible,Moon phase details at 15 February 1989,"379,294.94 km"
79.08% Visible,Moon phase details at 16 February 1989,"384,043.02 km"
86.75% Visible,Moon phase details at 17 February 1989,"388,746.12 km"
92.79% Visible,Moon phase details at 18 February 1989,"393,172.46 km"
97.05% Visible,Moon phase details at 19 February 1989,"397,122.08 km"
99.44% Visible,Moon phase details at 20 February 1989,"400,432.37 km"
99.95% Visible,Moon phase details at 21 February 1989,"402,978.67 km"
98.62% Visible,Moon phase details at 22 February 1989,"404,671.61 km"
95.54% Visible,Moon phase details at 23 February 1989,"405,452.86 km"
90.84% Visible,Moon phase details at 24 February 1989,"405,291.70 km"
84.69% Visible,Moon phase details at 25 February 1989,"404,183.85 km"
77.28% Visible,Moon phase details at 26 February 1989,"402,153.40 km"
68.81% Visible,Moon phase details at 27 February 1989,"399,257.98 km"
59.5% Visible,Moon phase details at 28 February 1989,"395,595.47 km"
49.62% Visible,Moon phase details at 1 March 1989,"391,310.16 km"
39.47% Visible,Moon phase details at 2 March 1989,"386,595.38 km"
29.44% Visible,Moon phase details at 3 March 1989,"381,689.94 km"
19.99% Visible,Moon phase details at 4 March 1989,"376,866.85 km"
11.72% Visible,Moon phase details at 5 March 1989,"372,414.69 km"
5.25% Visible,Moon phase details at 6 March 1989,"368,614.01 km"
1.2% Visible,Moon phase details at 7 March 1989,"365,712.18 km"
0.02% Visible,Moon phase details at 8 March 1989,"363,900.63 km"
1.91% Visible,Moon phase details at 9 March 1989,"363,297.54 km"
6.7% Visible,Moon phase details at 10 March 1989,"363,937.78 km"
13.97% Visible,Moon phase details at 11 March 1989,"365,770.95 km"
23.05% Visible,Moon phase details at 12 March 1989,"368,667.27 km"
33.28% Visible,Moon phase details at 13 March 1989,"372,430.52 km"
43.99% Visible,Moon phase details at 14 March 1989,"376,816.67 km"
54.64% Visible,Moon phase details at 15 March 1989,"381,555.83 km"
64.79% Visible,Moon phase details at 16 March 1989,"386,374.86 km"
74.08% Visible,Moon phase details at 17 March 1989,"391,017.58 km"
82.23% Visible,Moon phase details at 18 March 1989,"395,259.86 km"
89.03% Visible,Moon phase details at 19 March 1989,"398,918.44 km"
94.29% Visible,Moon phase details at 20 March 1989,"401,853.22 km"
97.9% Visible,Moon phase details at 21 March 1989,"403,964.69 km"
99.75% Visible,Moon phase details at 22 March 1989,"405,188.55 km"
99.8% Visible,Moon phase details at 23 March 1989,"405,490.09 km"
98.07% Visible,Moon phase details at 24 March 1989,"404,860.19 km"
94.61% Visible,Moon phase details at 25 March 1989,"403,314.48 km"
89.5% Visible,Moon phase details at 26 March 1989,"400,895.74 km"
82.87% Visible,Moon phase details at 27 March 1989,"397,679.00 km"
74.91% Visible,Moon phase details at 28 March 1989,"393,777.77 km"
65.82% Visible,Moon phase details at 29 March 1989,"389,348.87 km"
55.86% Visible,Moon phase details at 30 March 1989,"384,593.55 km"
45.36% Visible,Moon phase details at 31 March 1989,"379,752.65 km"
34.73% Visible,Moon phase details at 1 April 1989,"375,094.89 km"
24.48% Visible,Moon phase details at 2 April 1989,"370,898.75 km"
15.23% Visible,Moon phase details at 3 April 1989,"367,430.24 km"
7.67% Visible,Moon phase details at 4 April 1989,"364,919.41 km"
2.46% Visible,Moon phase details at 5 April 1989,"363,538.92 km"
0.11% Visible,Moon phase details at 6 April 1989,"363,387.44 km"
0.84% Visible,Moon phase details at 7 April 1989,"364,479.64 km"
4.53% Visible,Moon phase details at 8 April 1989,"366,744.06 km"
10.78% Visible,Moon phase details at 9 April 1989,"370,029.06 km"
18.97% Visible,Moon phase details at 10 April 1989,"374,116.65 km"
28.45% Visible,Moon phase details at 11 April 1989,"378,742.78 km"
38.6% Visible,Moon phase details at 12 April 1989,"383,621.57 km"
48.9% Visible,Moon phase details at 13 April 1989,"388,470.03 km"
58.94% Visible,Moon phase details at 14 April 1989,"393,029.58 km"
68.4% Visible,Moon phase details at 15 April 1989,"397,081.28 km"
76.99% Visible,Moon phase details at 16 April 1989,"400,453.41 km"
84.5% Visible,Moon phase details at 17 April 1989,"403,021.99 km"
90.72% Visible,Moon phase details at 18 April 1989,"404,706.23 km"
95.46% Visible,Moon phase details at 19 April 1989,"405,461.83 km"
98.57% Visible,Moon phase details at 20 April 1989,"405,274.74 km"
99.94% Visible,Moon phase details at 21 April 1989,"404,157.33 km"
99.48% Visible,Moon phase details at 22 April 1989,"402,147.88 km"
97.17% Visible,Moon phase details at 23 April 1989,"399,313.07 km"
93.02% Visible,Moon phase details at 24 April 1989,"395,752.37 km"
87.12% Visible,Moon phase details at 25 April 1989,"391,602.44 km"
79.62% Visible,Moon phase details at 26 April 1989,"387,039.28 km"
70.72% Visible,Moon phase details at 27 April 1989,"382,276.36 km"
60.71% Visible,Moon phase details at 28 April 1989,"377,557.28 km"
49.95% Visible,Moon phase details at 29 April 1989,"373,142.94 km"
38.9% Visible,Moon phase details at 30 April 1989,"369,294.14 km"
28.11% Visible,Moon phase details at 1 May 1989,"366,251.63 km"
18.23% Visible,Moon phase details at 2 May 1989,"364,216.00 km"
9.93% Visible,Moon phase details at 3 May 1989,"363,329.68 km"
3.87% Visible,Moon phase details at 4 May 1989,"363,663.05 km"
0.56% Visible,Moon phase details at 5 May 1989,"365,206.20 km"
0.22% Visible,Moon phase details at 6 May 1989,"367,867.36 km"
2.78% Visible,Moon phase details at 7 May 1989,"371,478.91 km"
7.89% Visible,Moon phase details at 8 May 1989,"375,810.86 km"
15% Visible,Moon phase details at 9 May 1989,"380,590.98 km"
23.54% Visible,Moon phase details at 10 May 1989,"385,529.02 km"
32.96% Visible,Moon phase details at 11 May 1989,"390,341.48 km"
42.78% Visible,Moon phase details at 12 May 1989,"394,773.01 km"
52.62% Visible,Moon phase details at 13 May 1989,"398,611.16 km"
62.17% Visible,Moon phase details at 14 May 1989,"401,693.28 km"
71.15% Visible,Moon phase details at 15 May 1989,"403,906.23 km"
79.31% Visible,Moon phase details at 16 May 1989,"405,181.38 km"
86.43% Visible,Moon phase details at 17 May 1989,"405,487.98 km"
92.26% Visible,Moon phase details at 18 May 1989,"404,827.52 km"
96.59% Visible,Moon phase details at 19 May 1989,"403,230.90 km"
99.23% Visible,Moon phase details at 20 May 1989,"400,758.66 km"
99.99% Visible,Moon phase details at 21 May 1989,"397,503.58 km"
98.76% Visible,Moon phase details at 22 May 1989,"393,593.83 km"
95.5% Visible,Moon phase details at 23 May 1989,"389,194.71 km"
90.23% Visible,Moon phase details at 24 May 1989,"384,507.09 km"
83.09% Visible,Moon phase details at 25 May 1989,"379,761.33 km"
74.32% Visible,Moon phase details at 26 May 1989,"375,206.40 km"
64.24% Visible,Moon phase details at 27 May 1989,"371,095.18 km"
53.29% Visible,Moon phase details at 28 May 1989,"367,667.42 km"
41.97% Visible,Moon phase details at 29 May 1989,"365,132.18 km"
30.88% Visible,Moon phase details at 30 May 1989,"363,651.76 km"
20.64% Visible,Moon phase details at 31 May 1989,"363,328.32 km"
11.93% Visible,Moon phase details at 1 June 1989,"364,194.33 km"
5.32% Visible,Moon phase details at 2 June 1989,"366,207.77 km"
1.28% Visible,Moon phase details at 3 June 1989,"369,252.81 km"
0% Visible,Moon phase details at 4 June 1989,"373,146.80 km"
1.45% Visible,Moon phase details at 5 June 1989,"377,653.55 km"
5.35% Visible,Moon phase details at 6 June 1989,"382,502.26 km"
11.27% Visible,Moon phase details at 7 June 1989,"387,409.92 km"
18.74% Visible,Moon phase details at 8 June 1989,"392,103.89 km"
27.29% Visible,Moon phase details at 9 June 1989,"396,341.10 km"
36.5% Visible,Moon phase details at 10 June 1989,"399,921.06 km"
46.03% Visible,Moon phase details at 11 June 1989,"402,691.63 km"
55.57% Visible,Moon phase details at 12 June 1989,"404,548.51 km"
64.84% Visible,Moon phase details at 13 June 1989,"405,430.77 km"
73.58% Visible,Moon phase details at 14 June 1989,"405,315.56 km"
81.53% Visible,Moon phase details at 15 June 1989,"404,214.28 km"
88.42% Visible,Moon phase details at 16 June 1989,"402,171.63 km"
93.95% Visible,Moon phase details at 17 June 1989,"399,267.26 km"
97.83% Visible,Moon phase details at 18 June 1989,"395,618.68 km"
99.8% Visible,Moon phase details at 19 June 1989,"391,383.14 km"
99.64% Visible,Moon phase details at 20 June 1989,"386,756.43 km"
97.21% Visible,Moon phase details at 21 June 1989,"381,966.96 km"
92.5% Visible,Moon phase details at 22 June 1989,"377,264.83 km"
85.66% Visible,Moon phase details at 23 June 1989,"372,906.82 km"
76.96% Visible,Moon phase details at 24 June 1989,"369,139.17 km"
66.82% Visible,Moon phase details at 25 June 1989,"366,180.31 km"
55.74% Visible,Moon phase details at 26 June 1989,"364,205.51 km"
44.29% Visible,Moon phase details at 27 June 1989,"363,334.60 km"
33.08% Visible,Moon phase details at 28 June 1989,"363,623.49 km"
22.73% Visible,Moon phase details at 29 June 1989,"365,059.78 km"
13.83% Visible,Moon phase details at 30 June 1989,"367,562.51 km"
6.88% Visible,Moon phase details at 1 July 1989,"370,986.65 km"
2.26% Visible,Moon phase details at 2 July 1989,"375,132.24 km"
0.15% Visible,Moon phase details at 3 July 1989,"379,758.46 km"
0.52% Visible,Moon phase details at 4 July 1989,"384,601.36 km"
3.2% Visible,Moon phase details at 5 July 1989,"389,393.56 km"
7.88% Visible,Moon phase details at 6 July 1989,"393,883.04 km"
14.2% Visible,Moon phase details at 7 July 1989,"397,848.48 km"
21.78% Visible,Moon phase details at 8 July 1989,"401,108.93 km"
30.27% Visible,Moon phase details at 9 July 1989,"403,527.58 km"
39.37% Visible,Moon phase details at 10 July 1989,"405,010.80 km"
48.78% Visible,Moon phase details at 11 July 1989,"405,504.57 km"
58.23% Visible,Moon phase details at 12 July 1989,"404,991.17 km"
67.46% Visible,Moon phase details at 13 July 1989,"403,487.89 km"
76.17% Visible,Moon phase details at 14 July 1989,"401,048.52 km"
84.05% Visible,Moon phase details at 15 July 1989,"397,767.01 km"
90.74% Visible,Moon phase details at 16 July 1989,"393,781.08 km"
95.88% Visible,Moon phase details at 17 July 1989,"389,273.29 km"
99.07% Visible,Moon phase details at 18 July 1989,"384,467.11 km"
99.98% Visible,Moon phase details at 19 July 1989,"379,616.90 km"
98.39% Visible,Moon phase details at 20 July 1989,"374,992.24 km"
94.25% Visible,Moon phase details at 21 July 1989,"370,858.55 km"
87.7% Visible,Moon phase details at 22 July 1989,"367,457.10 km"
79.11% Visible,Moon phase details at 23 July 1989,"364,986.97 km"
68.96% Visible,Moon phase details at 24 July 1989,"363,591.04 km"
57.86% Visible,Moon phase details at 25 July 1989,"363,347.03 km"
46.42% Visible,Moon phase details at 26 July 1989,"364,263.41 km"
35.25% Visible,Moon phase details at 27 July 1989,"366,280.16 km"
24.92% Visible,Moon phase details at 28 July 1989,"369,273.69 km"
15.95% Visible,Moon phase details at 29 July 1989,"373,065.89 km"
8.75% Visible,Moon phase details at 30 July 1989,"377,436.70 km"
3.62% Visible,Moon phase details at 31 July 1989,"382,139.71 km"
0.71% Visible,Moon phase details at 1 August 1989,"386,919.27 km"
0.04% Visible,Moon phase details at 2 August 1989,"391,527.48 km"
1.52% Visible,Moon phase details at 3 August 1989,"395,738.66 km"
4.94% Visible,Moon phase details at 4 August 1989,"399,359.83 km"
10.05% Visible,Moon phase details at 5 August 1989,"402,236.19 km"
16.59% Visible,Moon phase details at 6 August 1989,"404,252.08 km"
24.27% Visible,Moon phase details at 7 August 1989,"405,328.96 km"
32.82% Visible,Moon phase details at 8 August 1989,"405,422.60 km"
41.99% Visible,Moon phase details at 9 August 1989,"404,521.56 km"
51.49% Visible,Moon phase details at 10 August 1989,"402,648.33 km"
61.08% Visible,Moon phase details at 11 August 1989,"399,863.37 km"
70.45% Visible,Moon phase details at 12 August 1989,"396,270.66 km"
79.26% Visible,Moon phase details at 13 August 1989,"392,022.26 km"
87.08% Visible,Moon phase details at 14 August 1989,"387,319.06 km"
93.45% Visible,Moon phase details at 15 August 1989,"382,405.03 km"
97.88% Visible,Moon phase details at 16 August 1989,"377,554.13 km"
99.91% Visible,Moon phase details at 17 August 1989,"373,050.86 km"
99.22% Visible,Moon phase details at 18 August 1989,"369,167.37 km"
95.73% Visible,Moon phase details at 19 August 1989,"366,140.72 km"
89.59% Visible,Moon phase details at 20 August 1989,"364,153.54 km"
81.24% Visible,Moon phase details at 21 August 1989,"363,320.61 km"
71.25% Visible,Moon phase details at 22 August 1989,"363,681.83 km"
60.28% Visible,Moon phase details at 23 August 1989,"365,201.73 km"
48.99% Visible,Moon phase details at 24 August 1989,"367,774.62 km"
37.97% Visible,Moon phase details at 25 August 1989,"371,234.64 km"
27.73% Visible,Moon phase details at 26 August 1989,"375,369.61 km"
18.7% Visible,Moon phase details at 27 August 1989,"379,937.70 km"
11.23% Visible,Moon phase details at 28 August 1989,"384,685.14 km"
5.56% Visible,Moon phase details at 29 August 1989,"389,363.41 km"
1.84% Visible,Moon phase details at 30 August 1989,"393,743.80 km"
0.13% Visible,Moon phase details at 31 August 1989,"397,627.83 km"
0.4% Visible,Moon phase details at 1 September 1989,"400,852.98 km"
2.55% Visible,Moon phase details at 2 September 1989,"403,293.79 km"
6.44% Visible,Moon phase details at 3 September 1989,"404,859.84 km"
11.88% Visible,Moon phase details at 4 September 1989,"405,492.41 km"
18.66% Visible,Moon phase details at 5 September 1989,"405,161.84 km"
26.57% Visible,Moon phase details at 6 September 1989,"403,867.32 km"
35.37% Visible,Moon phase details at 7 September 1989,"401,639.85 km"
44.82% Visible,Moon phase details at 8 September 1989,"398,547.85 km"
54.65% Visible,Moon phase details at 9 September 1989,"394,703.95 km"
64.57% Visible,Moon phase details at 10 September 1989,"390,270.12 km"
74.18% Visible,Moon phase details at 11 September 1989,"385,458.10 km"
83.04% Visible,Moon phase details at 12 September 1989,"380,522.70 km"
90.6% Visible,Moon phase details at 13 September 1989,"375,747.21 km"
96.25% Visible,Moon phase details at 14 September 1989,"371,422.13 km"
99.44% Visible,Moon phase details at 15 September 1989,"367,820.29 km"
99.77% Visible,Moon phase details at 16 September 1989,"365,172.42 km"
97.1% Visible,Moon phase details at 17 September 1989,"363,646.78 km"
91.6% Visible,Moon phase details at 18 September 1989,"363,335.27 km"
83.74% Visible,Moon phase details at 19 September 1989,"364,247.23 km"
74.15% Visible,Moon phase details at 20 September 1989,"366,310.85 km"
63.54% Visible,Moon phase details at 21 September 1989,"369,381.51 km"
52.55% Visible,Moon phase details at 22 September 1989,"373,255.95 km"
41.74% Visible,Moon phase details at 23 September 1989,"377,690.70 km"
31.59% Visible,Moon phase details at 24 September 1989,"382,422.66 km"
