illumination,Date,Text1
46.58% Visible,Moon phase details at 9 April 1984,"372,478.72 km"
57.67% Visible,Moon phase details at 10 April 1984,"368,758.06 km"
68.66% Visible,Moon phase details at 11 April 1984,"365,871.90 km"
78.91% Visible,Moon phase details at 12 April 1984,"364,009.68 km"
87.76% Visible,Moon phase details at 13 April 1984,"363,301.86 km"
94.54% Visible,Moon phase details at 14 April 1984,"363,807.32 km"
98.71% Visible,Moon phase details at 15 April 1984,"365,505.98 km"
99.99% Visible,Moon phase details at 16 April 1984,"368,297.97 km"
98.38% Visible,Moon phase details at 17 April 1984,"372,009.94 km"
94.15% Visible,Moon phase details at 18 April 1984,"376,408.64 km"
87.78% Visible,Moon phase details at 19 April 1984,"381,220.94 km"
79.81% Visible,Moon phase details at 20 April 1984,"386,157.63 km"
70.8% Visible,Moon phase details at 21 April 1984,"390,937.84 km"
61.22% Visible,Moon phase details at 22 April 1984,"395,309.78 km"
51.45% Visible,Moon phase details at 23 April 1984,"399,064.97 km"
41.83% Visible,Moon phase details at 24 April 1984,"402,044.71 km"
32.63% Visible,Moon phase details at 25 April 1984,"404,139.53 km"
24.11% Visible,Moon phase details at 26 April 1984,"405,284.22 km"
16.52% Visible,Moon phase details at 27 April 1984,"405,451.44 km"
10.08% Visible,Moon phase details at 28 April 1984,"404,646.54 km"
5.05% Visible,Moon phase details at 29 April 1984,"402,905.28 km"
1.65% Visible,Moon phase details at 30 April 1984,"400,294.40 km"
0.09% Visible,Moon phase details at 1 May 1984,"396,914.29 km"
0.51% Visible,Moon phase details at 2 May 1984,"392,901.81 km"
3.02% Visible,Moon phase details at 3 May 1984,"388,431.19 km"
7.62% Visible,Moon phase details at 4 May 1984,"383,711.18 km"
14.2% Visible,Moon phase details at 5 May 1984,"378,977.63 km"
22.55% Visible,Moon phase details at 6 May 1984,"374,481.44 km"
32.34% Visible,Moon phase details at 7 May 1984,"370,473.23 km"
43.15% Visible,Moon phase details at 8 May 1984,"367,186.21 km"
54.46% Visible,Moon phase details at 9 May 1984,"364,819.35 km"
65.71% Visible,Moon phase details at 10 May 1984,"363,522.44 km"
76.27% Visible,Moon phase details at 11 May 1984,"363,384.13 km"
85.49% Visible,Moon phase details at 12 May 1984,"364,423.79 km"
92.77% Visible,Moon phase details at 13 May 1984,"366,588.06 km"
97.65% Visible,Moon phase details at 14 May 1984,"369,752.48 km"
99.87% Visible,Moon phase details at 15 May 1984,"373,729.08 km"
99.39% Visible,Moon phase details at 16 May 1984,"378,279.83 km"
96.42% Visible,Moon phase details at 17 May 1984,"383,135.32 km"
91.32% Visible,Moon phase details at 18 May 1984,"388,016.39 km"
84.53% Visible,Moon phase details at 19 May 1984,"392,655.79 km"
76.5% Visible,Moon phase details at 20 May 1984,"396,816.27 km"
67.64% Visible,Moon phase details at 21 May 1984,"400,302.79 km"
58.29% Visible,Moon phase details at 22 May 1984,"402,967.65 km"
